Country,"Country, WB style",Population2008
Argentina,Argentina,40382389
Austria,Austria,8321496
Bolivia,Bolivia,9599855
Brazil,Brazil,192979029
Bulgaria,Bulgaria,7492561
Canada,Canada,33245773
Chile,Chile,16661942
Colombia,Colombia,44901544
Costa Rica,Costa Rica,4429508
Croatia,Croatia,4434508
Czech Republic,Czech Republic,10384603
Dominican Republic,Dominican Republic,9636520
Ecuador,Ecuador,14447562
El Salvador,El Salvador,6110301
France,France,64374989
Germany,Germany,82110097
Guatemala,Guatemala,14006366
Honduras,Honduras,7872658
Hungary,Hungary,10038188
India,India,1197146906
Italy,Italy,58826731
Latvia,Latvia,2177322
Mexico,Mexico,113661809
Netherlands,Netherlands,16445593
Nicaragua,Nicaragua,5594506
Norway,Norway,4768212
Panama,Panama,3516268
Paraguay,Paraguay,6047117
Peru,Peru,28641980
Poland,Poland,38125759
Romania,Romania,20537875
Russia,Russian Federation,142742350
Slovakia,Slovak Republic,5379233
Spain,Spain,45954106
Sweden,Sweden,9219637
Turkey,Turkey,70440032
UK,United Kingdom,61806995
United States,United States,304093966
Uruguay,Uruguay,3350824
Venezuela,"Venezuela, RB",28141701